data,valor,indicador
2016-01-01,4550.23,ipca
2016-02-01,4591.18,ipca
2016-03-01,4610.92,ipca
2016-04-01,4639.05,ipca
2016-05-01,4675.23,ipca
2016-06-01,4691.59,ipca
2016-07-01,4715.99,ipca
2016-08-01,4736.74,ipca
2016-09-01,4740.53,ipca
2016-10-01,4752.86,ipca
2016-11-01,4761.42,ipca
2016-12-01,4775.7,ipca
2017-01-01,4793.85,ipca
2017-02-01,4809.67,ipca
2017-03-01,4821.69,ipca
2017-04-01,4828.44,ipca
2017-05-01,4843.41,ipca
2017-06-01,4832.27,ipca
2017-07-01,4843.87,ipca
2017-08-01,4853.07,ipca
2017-09-01,4860.83,ipca
2017-10-01,4881.25,ipca
2017-11-01,4894.92,ipca
2017-12-01,4916.46,ipca
2018-01-01,4930.72,ipca
2018-02-01,4946.5,ipca
2018-03-01,4950.95,ipca
2018-04-01,4961.84,ipca
2018-05-01,4981.69,ipca
2018-06-01,5044.46,ipca
2018-07-01,5061.11,ipca
2018-08-01,5056.56,ipca
2018-09-01,5080.83,ipca
2018-10-01,5103.69,ipca
2018-11-01,5092.97,ipca
2018-12-01,5100.61,ipca
2019-01-01,5116.93,ipca
2019-02-01,5138.93,ipca
2019-03-01,5177.47,ipca
2019-04-01,5206.98,ipca
2019-05-01,5213.75,ipca
2019-06-01,5214.27,ipca
2019-07-01,5224.18,ipca
2019-08-01,5229.93,ipca
2019-09-01,5227.84,ipca
2019-10-01,5233.07,ipca
2019-11-01,5259.76,ipca
2019-12-01,5320.25,ipca
2020-01-01,5331.42,ipca
2020-02-01,5344.75,ipca
2020-03-01,5348.49,ipca
2020-04-01,5331.91,ipca
2020-05-01,5311.65,ipca
2020-06-01,5325.46,ipca
2020-07-01,5344.63,ipca
2020-08-01,5357.46,ipca
2020-09-01,5391.75,ipca
2020-10-01,5438.12,ipca
2020-11-01,5486.52,ipca
2020-12-01,5560.59,ipca
2021-01-01,5574.49,ipca
2021-02-01,5622.43,ipca
2021-03-01,5674.72,ipca
2021-04-01,5692.31,ipca
2021-05-01,5739.56,ipca
2021-06-01,5769.98,ipca
2021-07-01,5825.37,ipca
2021-08-01,5876.05,ipca
2021-09-01,5944.21,ipca
2021-10-01,6018.51,ipca
2021-11-01,6075.69,ipca
2021-12-01,6120.04,ipca
2022-01-01,6153.09,ipca
2022-02-01,6215.24,ipca
2022-03-01,6315.93,ipca
2022-04-01,6382.88,ipca
2022-05-01,6412.88,ipca
2022-06-01,6455.85,ipca
2022-07-01,6411.95,ipca
2022-08-01,6388.87,ipca
2022-09-01,6370.34,ipca
2022-10-01,6407.93,ipca
2022-11-01,6434.2,ipca
2022-12-01,6474.09,ipca
2023-01-01,6508.4,ipca
2023-02-01,6563.07,ipca
2023-03-01,6609.67,ipca
2023-04-01,6649.99,ipca
2023-05-01,6665.28,ipca
2023-06-01,6659.95,ipca
2023-07-01,6667.94,ipca
2023-08-01,6683.28,ipca
2023-09-01,6700.66,ipca
2023-10-01,6716.74,ipca
2023-11-01,6735.55,ipca
2023-12-01,6773.27,ipca
2024-01-01,6801.72,ipca
2024-02-01,6858.17,ipca
2024-03-01,6869.14,ipca
2024-04-01,6895.24,ipca
2024-05-01,6926.96,ipca
2024-06-01,6941.51,ipca
2024-07-01,6967.89,ipca
2024-08-01,6966.5,ipca
2024-09-01,6997.15,ipca
2024-10-01,7036.33,ipca
2024-11-01,7063.77,ipca
2024-12-01,7100.5,ipca
2025-01-01,7111.86,ipca
2025-02-01,7205.03,ipca
2025-03-01,7245.38,ipca
2025-04-01,7276.54,ipca
2025-05-01,7295.46,ipca
2025-06-01,7312.97,ipca
2025-07-01,7331.98,ipca
2025-08-01,7323.91,ipca
2025-09-01,7359.06,ipca
2025-10-01,7365.68,ipca
2025-11-01,7378.94,ipca
2025-12-01,7403.29,ipca
2026-01-01,7427.72,ipca
2026-02-01,7479.71,ipca
2026-03-01,7545.53,ipca
2026-04-01,7596.09,ipca
2026-05-01,7640.15,ipca
2026-06-01,7652.37,ipca
2026-07-01,7657.73,ipca
