data,grupo,valor
2024-03-01,6.Saúde e cuidados pessoais,0.43
2024-03-01,7.Despesas pessoais,0.33
2024-03-01,8.Educação,0.14
2024-03-01,9.Comunicação,-0.13
2024-04-01,1.Alimentação e bebidas,0.7
2024-04-01,2.Habitação,-0.01
2024-04-01,3.Artigos de residência,-0.26
2024-04-01,4.Vestuário,0.55
2024-04-01,5.Transportes,0.14
2024-04-01,6.Saúde e cuidados pessoais,1.16
2024-04-01,7.Despesas pessoais,0.1
2024-04-01,8.Educação,0.05
2024-04-01,9.Comunicação,0.48
2024-05-01,1.Alimentação e bebidas,0.62
2024-05-01,2.Habitação,0.67
2024-05-01,3.Artigos de residência,-0.53
2024-05-01,4.Vestuário,0.5
2024-05-01,5.Transportes,0.44
2024-05-01,6.Saúde e cuidados pessoais,0.69
2024-05-01,7.Despesas pessoais,0.22
2024-05-01,8.Educação,0.09
2024-05-01,9.Comunicação,0.14
2024-06-01,1.Alimentação e bebidas,0.44
2024-06-01,2.Habitação,0.25
2024-06-01,3.Artigos de residência,0.19
2024-06-01,4.Vestuário,0.02
2024-06-01,5.Transportes,-0.19
2024-06-01,6.Saúde e cuidados pessoais,0.54
2024-06-01,7.Despesas pessoais,0.29
2024-06-01,8.Educação,0.06
2024-06-01,9.Comunicação,-0.08
2024-07-01,1.Alimentação e bebidas,-1
2024-07-01,2.Habitação,0.77
2024-07-01,3.Artigos de residência,0.48
2024-07-01,4.Vestuário,-0.02
2024-07-01,5.Transportes,1.82
2024-07-01,6.Saúde e cuidados pessoais,0.22
2024-07-01,7.Despesas pessoais,0.52
2024-07-01,8.Educação,0.08
2024-07-01,9.Comunicação,0.18
2024-08-01,1.Alimentação e bebidas,-0.44
2024-08-01,2.Habitação,-0.51
2024-08-01,3.Artigos de residência,0.74
2024-08-01,4.Vestuário,0.39
2024-08-01,5.Transportes,0
2024-08-01,6.Saúde e cuidados pessoais,0.25
2024-08-01,7.Despesas pessoais,0.25
2024-08-01,8.Educação,0.73
2024-08-01,9.Comunicação,0.1
2024-09-01,1.Alimentação e bebidas,0.5
2024-09-01,2.Habitação,1.8
2024-09-01,3.Artigos de residência,-0.19
2024-09-01,4.Vestuário,0.18
2024-09-01,5.Transportes,0.14
2024-09-01,6.Saúde e cuidados pessoais,0.46
2024-09-01,7.Despesas pessoais,-0.31
2024-09-01,8.Educação,0.05
2024-09-01,9.Comunicação,-0.05
2024-10-01,1.Alimentação e bebidas,1.06
2024-10-01,2.Habitação,1.49
2024-10-01,3.Artigos de residência,0.43
2024-10-01,4.Vestuário,0.37
2024-10-01,5.Transportes,-0.38
2024-10-01,6.Saúde e cuidados pessoais,0.38
2024-10-01,7.Despesas pessoais,0.7
2024-10-01,8.Educação,0.04
2024-10-01,9.Comunicação,0.52
2024-11-01,1.Alimentação e bebidas,1.55
2024-11-01,2.Habitação,-1.53
2024-11-01,3.Artigos de residência,-0.31
2024-11-01,4.Vestuário,-0.12
2024-11-01,5.Transportes,0.89
2024-11-01,6.Saúde e cuidados pessoais,-0.06
2024-11-01,7.Despesas pessoais,1.43
2024-11-01,8.Educação,-0.04
2024-11-01,9.Comunicação,-0.1
2024-12-01,1.Alimentação e bebidas,1.18
2024-12-01,2.Habitação,-0.56
2024-12-01,3.Artigos de residência,0.65
2024-12-01,4.Vestuário,1.14
2024-12-01,5.Transportes,0.67
2024-12-01,6.Saúde e cuidados pessoais,0.38
2024-12-01,7.Despesas pessoais,0.62
2024-12-01,8.Educação,0.11
2024-12-01,9.Comunicação,0.37
2025-01-01,1.Alimentação e bebidas,0.96
2025-01-01,2.Habitação,-3.08
2025-01-01,3.Artigos de residência,-0.09
2025-01-01,4.Vestuário,-0.14
2025-01-01,5.Transportes,1.3
2025-01-01,6.Saúde e cuidados pessoais,0.7
2025-01-01,7.Despesas pessoais,0.51
2025-01-01,8.Educação,0.26
2025-01-01,9.Comunicação,-0.17
2025-02-01,1.Alimentação e bebidas,0.7
2025-02-01,2.Habitação,4.44
2025-02-01,3.Artigos de residência,0.44
2025-02-01,4.Vestuário,0
2025-02-01,5.Transportes,0.61
2025-02-01,6.Saúde e cuidados pessoais,0.49
2025-02-01,7.Despesas pessoais,0.13
2025-02-01,8.Educação,4.7
2025-02-01,9.Comunicação,0.17
2025-03-01,1.Alimentação e bebidas,1.17
2025-03-01,2.Habitação,0.24
2025-03-01,3.Artigos de residência,0.13
2025-03-01,4.Vestuário,0.59
2025-03-01,5.Transportes,0.46
2025-03-01,6.Saúde e cuidados pessoais,0.43
2025-03-01,7.Despesas pessoais,0.7
2025-03-01,8.Educação,0.1
2025-03-01,9.Comunicação,0.24
2025-04-01,1.Alimentação e bebidas,0.82
2025-04-01,2.Habitação,0.14
2025-04-01,3.Artigos de residência,0.53
2025-04-01,4.Vestuário,1.02
2025-04-01,5.Transportes,-0.38
2025-04-01,6.Saúde e cuidados pessoais,1.18
2025-04-01,7.Despesas pessoais,0.54
2025-04-01,8.Educação,0.05
2025-04-01,9.Comunicação,0.69
2025-05-01,1.Alimentação e bebidas,0.17
2025-05-01,2.Habitação,1.19
2025-05-01,3.Artigos de residência,-0.27
2025-05-01,4.Vestuário,0.41
2025-05-01,5.Transportes,-0.37
2025-05-01,6.Saúde e cuidados pessoais,0.54
2025-05-01,7.Despesas pessoais,0.35
2025-05-01,8.Educação,0.05
2025-05-01,9.Comunicação,0.07
2025-06-01,1.Alimentação e bebidas,-0.18
2025-06-01,2.Habitação,0.99
2025-06-01,3.Artigos de residência,0.08
2025-06-01,4.Vestuário,0.75
2025-06-01,5.Transportes,0.27
2025-06-01,6.Saúde e cuidados pessoais,0.07
2025-06-01,7.Despesas pessoais,0.23
2025-06-01,8.Educação,0
2025-06-01,9.Comunicação,0.11
2025-07-01,1.Alimentação e bebidas,-0.27
2025-07-01,2.Habitação,0.91
2025-07-01,3.Artigos de residência,0.09
2025-07-01,4.Vestuário,-0.54
2025-07-01,5.Transportes,0.35
2025-07-01,6.Saúde e cuidados pessoais,0.45
2025-07-01,7.Despesas pessoais,0.76
2025-07-01,8.Educação,0.02
2025-07-01,9.Comunicação,-0.09
2025-08-01,1.Alimentação e bebidas,-0.46
2025-08-01,2.Habitação,-0.9
2025-08-01,3.Artigos de residência,-0.09
2025-08-01,4.Vestuário,0.72
2025-08-01,5.Transportes,-0.27
2025-08-01,6.Saúde e cuidados pessoais,0.54
2025-08-01,7.Despesas pessoais,0.4
2025-08-01,8.Educação,0.75
2025-08-01,9.Comunicação,-0.09
2025-09-01,1.Alimentação e bebidas,-0.26
2025-09-01,2.Habitação,2.97
2025-09-01,3.Artigos de residência,-0.4
2025-09-01,4.Vestuário,0.63
2025-09-01,5.Transportes,0.01
2025-09-01,6.Saúde e cuidados pessoais,0.17
2025-09-01,7.Despesas pessoais,0.51
2025-09-01,8.Educação,0.07
2025-09-01,9.Comunicação,-0.17
2025-10-01,1.Alimentação e bebidas,0.01
2025-10-01,2.Habitação,-0.3
2025-10-01,3.Artigos de residência,-0.34
2025-10-01,4.Vestuário,0.51
2025-10-01,5.Transportes,0.11
2025-10-01,6.Saúde e cuidados pessoais,0.41
2025-10-01,7.Despesas pessoais,0.45
2025-10-01,8.Educação,0.06
2025-10-01,9.Comunicação,-0.16
2025-11-01,1.Alimentação e bebidas,-0.01
2025-11-01,2.Habitação,0.52
2025-11-01,3.Artigos de residência,-1
2025-11-01,4.Vestuário,0.49
2025-11-01,5.Transportes,0.22
2025-11-01,6.Saúde e cuidados pessoais,-0.04
2025-11-01,7.Despesas pessoais,0.77
2025-11-01,8.Educação,0.01
2025-11-01,9.Comunicação,-0.2
2025-12-01,1.Alimentação e bebidas,0.27
2025-12-01,2.Habitação,-0.33
2025-12-01,3.Artigos de residência,0.64
2025-12-01,4.Vestuário,0.45
2025-12-01,5.Transportes,0.74
2025-12-01,6.Saúde e cuidados pessoais,0.52
2025-12-01,7.Despesas pessoais,0.36
2025-12-01,8.Educação,0.08
2025-12-01,9.Comunicação,0.37
2026-01-01,1.Alimentação e bebidas,0.23
2026-01-01,2.Habitação,-0.11
2026-01-01,3.Artigos de residência,0.2
2026-01-01,4.Vestuário,-0.25
2026-01-01,5.Transportes,0.6
2026-01-01,6.Saúde e cuidados pessoais,0.7
2026-01-01,7.Despesas pessoais,0.41
2026-01-01,8.Educação,0.02
2026-01-01,9.Comunicação,0.82
2026-02-01,1.Alimentação e bebidas,0.26
2026-02-01,2.Habitação,0.3
2026-02-01,3.Artigos de residência,0.13
2026-02-01,4.Vestuário,0.16
2026-02-01,5.Transportes,0.74
2026-02-01,6.Saúde e cuidados pessoais,0.59
2026-02-01,7.Despesas pessoais,0.33
2026-02-01,8.Educação,5.21
2026-02-01,9.Comunicação,0.15
2026-03-01,1.Alimentação e bebidas,1.56
2026-03-01,2.Habitação,0.22
2026-03-01,3.Artigos de residência,0.51
2026-03-01,4.Vestuário,0.46
2026-03-01,5.Transportes,1.64
2026-03-01,6.Saúde e cuidados pessoais,0.42
2026-03-01,7.Despesas pessoais,0.65
