data,grupo,valor
2024-06-01,8.Educação,0.05
2024-06-01,9.Comunicação,-0.12
2024-07-01,1.Alimentação e bebidas,-0.95
2024-07-01,2.Habitação,0.75
2024-07-01,3.Artigos de residência,0.46
2024-07-01,4.Vestuário,0.01
2024-07-01,5.Transportes,1.36
2024-07-01,6.Saúde e cuidados pessoais,0.18
2024-07-01,7.Despesas pessoais,0.65
2024-07-01,8.Educação,0.07
2024-07-01,9.Comunicação,0.19
2024-08-01,1.Alimentação e bebidas,-0.63
2024-08-01,2.Habitação,-0.6
2024-08-01,3.Artigos de residência,0.6
2024-08-01,4.Vestuário,0.26
2024-08-01,5.Transportes,0.05
2024-08-01,6.Saúde e cuidados pessoais,0.14
2024-08-01,7.Despesas pessoais,0.2
2024-08-01,8.Educação,0.67
2024-08-01,9.Comunicação,0.1
2024-09-01,1.Alimentação e bebidas,0.49
2024-09-01,2.Habitação,1.93
2024-09-01,3.Artigos de residência,-0.2
2024-09-01,4.Vestuário,0.16
2024-09-01,5.Transportes,0.03
2024-09-01,6.Saúde e cuidados pessoais,0.49
2024-09-01,7.Despesas pessoais,-0.39
2024-09-01,8.Educação,0.05
2024-09-01,9.Comunicação,-0.06
2024-10-01,1.Alimentação e bebidas,1.11
2024-10-01,2.Habitação,1.61
2024-10-01,3.Artigos de residência,0.39
2024-10-01,4.Vestuário,0.4
2024-10-01,5.Transportes,-0.45
2024-10-01,6.Saúde e cuidados pessoais,0.31
2024-10-01,7.Despesas pessoais,0.71
2024-10-01,8.Educação,0.07
2024-10-01,9.Comunicação,0.43
2024-11-01,1.Alimentação e bebidas,1.62
2024-11-01,2.Habitação,-1.64
2024-11-01,3.Artigos de residência,-0.38
2024-11-01,4.Vestuário,-0.11
2024-11-01,5.Transportes,0.66
2024-11-01,6.Saúde e cuidados pessoais,-0.17
2024-11-01,7.Despesas pessoais,1.82
2024-11-01,8.Educação,0.03
2024-11-01,9.Comunicação,-0.09
2024-12-01,1.Alimentação e bebidas,1.12
2024-12-01,2.Habitação,-0.59
