data,grupo,valor
2025-10-01,2.Habitação,0.16
2025-10-01,3.Artigos de residência,-0.64
2025-10-01,4.Vestuário,0.45
2025-10-01,5.Transportes,0.41
2025-10-01,6.Saúde e cuidados pessoais,0.24
2025-10-01,7.Despesas pessoais,0.42
2025-10-01,8.Educação,0.09
2025-10-01,9.Comunicação,-0.09
2025-11-01,1.Alimentação e bebidas,0.09
2025-11-01,2.Habitação,0.09
2025-11-01,3.Artigos de residência,-0.2
2025-11-01,4.Vestuário,0.19
2025-11-01,5.Transportes,0.22
2025-11-01,6.Saúde e cuidados pessoais,0.29
2025-11-01,7.Despesas pessoais,0.85
2025-11-01,8.Educação,0.05
2025-11-01,9.Comunicação,-0.19
2025-12-01,1.Alimentação e bebidas,0.13
2025-12-01,2.Habitação,0.17
2025-12-01,3.Artigos de residência,-0.64
2025-12-01,4.Vestuário,0.69
2025-12-01,5.Transportes,0.69
2025-12-01,6.Saúde e cuidados pessoais,-0.01
2025-12-01,7.Despesas pessoais,0.46
2025-12-01,8.Educação,0
2025-12-01,9.Comunicação,0.01
2026-01-01,1.Alimentação e bebidas,0.31
2026-01-01,2.Habitação,-0.26
2026-01-01,3.Artigos de residência,0.43
2026-01-01,4.Vestuário,0.28
2026-01-01,5.Transportes,-0.13
2026-01-01,6.Saúde e cuidados pessoais,0.81
2026-01-01,7.Despesas pessoais,0.28
2026-01-01,8.Educação,0.05
2026-01-01,9.Comunicação,0.73
2026-02-01,1.Alimentação e bebidas,0.2
2026-02-01,2.Habitação,0.06
2026-02-01,3.Artigos de residência,0.21
2026-02-01,4.Vestuário,-0.42
2026-02-01,5.Transportes,1.72
2026-02-01,6.Saúde e cuidados pessoais,0.67
2026-02-01,7.Despesas pessoais,0.2
2026-02-01,8.Educação,5.2
2026-02-01,9.Comunicação,0.39
2026-03-01,1.Alimentação e bebidas,0.88
2026-03-01,2.Habitação,0.24
2026-03-01,3.Artigos de residência,0.37
2026-03-01,4.Vestuário,0.47
2026-03-01,5.Transportes,0.21
2026-03-01,6.Saúde e cuidados pessoais,0.36
2026-03-01,7.Despesas pessoais,0.82
2026-03-01,8.Educação,0.05
2026-03-01,9.Comunicação,0.03
2026-04-01,1.Alimentação e bebidas,1.46
2026-04-01,2.Habitação,0.42
2026-04-01,3.Artigos de residência,0.48
2026-04-01,4.Vestuário,0.76
2026-04-01,5.Transportes,1.34
2026-04-01,6.Saúde e cuidados pessoais,0.93
2026-04-01,7.Despesas pessoais,0.32
