mes,1.Alimentação e bebidas,2.Habitação,3.Artigos de residência,4.Vestuário,5.Transportes,6.Saúde e cuidados pessoais,7.Despesas pessoais,8.Educação,9.Comunicação,1.Alimentação e bebidas_acum12m,2.Habitação_acum12m,3.Artigos de residência_acum12m,4.Vestuário_acum12m,5.Transportes_acum12m,6.Saúde e cuidados pessoais_acum12m,7.Despesas pessoais_acum12m,8.Educação_acum12m,9.Comunicação_acum12m
2025 ago,-0.54,-1.04,-0.07,0.77,-0.25,0.53,0.31,0.7,-0.16,7.277038385642598,5.050740551095512,1.4739642424824284,4.102193664991471,3.19125375245517,5.443294065572979,6.871507428093504,6.078285833659858,1.4660379396004064
2025 set,-0.33,3.28,-0.45,0.6,0.02,0.03,0.33,0.08,-0.22,6.401656044352655,6.44207283544731,1.2197709452818284,4.559511608407973,3.180937721889099,4.960620015715667,7.64399498304007,6.110093415618967,1.3035948130210917
2025 out,0,-0.32,-0.31,0.47,0.05,0.45,0.33,0.06,-0.26,5.233563489617898,4.420291509077723,0.5139851134091655,4.632411666302261,3.6991744758915424,5.107110762422851,7.237831562391128,6.099489828788207,0.6075928173924439
2025 nov,-0.06,0.51,-1.11,0.44,-0.07,-0.32,0.51,-0.01,-0.24,3.4938234122457335,6.702760264105345,-0.22256587166199493,5.208523653653008,2.9471339695593235,4.949181616731546,5.858126599252933,6.057062760977039,0.45654548556772756
2025 dez,0.28,-0.5,0.7,0.53,0.23,0.48,0.55,0.06,0.45,2.634104151305383,6.799362702730938,-0.192831859306275,4.584325945829493,2.6297119332497454,5.200456592669456,5.627018254985439,5.982919203668824,0.48655640335866224
2026 jan,0.14,-0.19,0.27,-0.46,1.18,0.84,0.46,-0.02,0.91,1.7702662611320141,10.416867530138552,0.13672953239303176,4.217877711961826,2.680453410523187,5.263088339003641,5.595484664104267,5.644788255062916,1.5736592874178612
2026 fev,0.26,0.35,0.16,0.07,0.44,0.7,0.32,4.89,0.21,1.2753041721200509,5.738454591558373,-0.1424250302221597,4.363884945822272,2.0000468851048003,5.43060469203962,5.838135892725971,6.089821350632363,1.6142197982643713
2026 mar,1.65,0.23,0.55,0.44,1.61,0.43,0.63,0.01,0.11,1.8464055114365108,5.759557965391648,0.19637923571662608,4.343107743961672,3.373476600792946,5.42010781781701,5.76456419945397,6.015617838496623,1.5330825831345152
2026 abr,1.37,0.77,0.59,0.52,0.37,1.31,0.37,0.06,0.64,2.462982599189356,6.4461711563375435,0.29608704667862806,3.991366155294762,3.9118262035211515,5.492998054356413,5.480815865453059,5.983841751623276,1.5431723260127095
2026 mai,1.33,1.28,0.03,0.62,-0.54,1.11,0.38,-0.01,0.2,3.556493384957693,6.39364664673705,0.5776199225991263,4.291949193120281,3.547442482739349,6.112186960564814,5.5228652239802445,5.930871019040507,1.6446140566081402
2026 jun,-0.29,0.67,0.25,0.15,0.1,0.22,0.27,0.02,0.23,3.45273975968472,5.993551785522189,0.7383994129339877,3.6811466318343866,3.3615775081991206,6.526729211537674,5.564977511807823,5.952057193244298,1.766453570011306
2026 jul,-0.74,0.95,0.11,-0.53,-0.19,0.46,0.18,-0.02,0.07,3.0788892646687938,6.088132587234463,0.708220144086491,3.6707243211556717,2.969548369032382,6.410213946416166,4.739025919905981,5.867346373981275,1.949834905906811
